list,table,field,label,type,size,default,filter,relation,rel_uid,rel_field,other_table,other_field,show_field
,AssessmentUnit,id,AU_ID,hide,,,,,,,,,
,,,,,,,,,,,,,
1,AssessmentUnit,title,Assessment Unit,edit,,,,,,,,,
2,AssessmentUnit,assessment_unit_code,Code,edit,,,,,,,,,
3,AssessmentUnit,department_id,Department,hide,,,,,,,Department,id,department_name
4,AssessmentUnit,description,Description,edit,80,,,,,,,,
